node_id,longitude,latitude
438,126.5796267,45.7253288
439,126.5781729,45.7264437
440,126.6237202,45.7379986
441,126.6189426,45.7400611
442,126.6196822,45.7396467
443,126.6202348,45.7393356
444,126.6206613,45.7391744
445,126.6213942,45.7389295
446,126.6221563,45.7386408
447,126.5343773,45.7158244
448,126.5359288,45.7232053
449,126.5350309,45.7180253
450,126.5350610,45.7181468
451,126.5357683,45.7207828
452,126.5357950,45.7208768
453,126.7051826,45.6899483
454,126.7126406,45.6845480
455,126.7063882,45.6888289
456,126.7064718,45.6887560
457,126.7082218,45.6875922
458,126.7093159,45.6868569
459,126.7093851,45.6868104
460,126.7125268,45.6846243
461,126.6786457,45.7054078
462,126.6776801,45.7052804
463,126.6201391,45.7411251
464,126.6224001,45.7430333
465,126.6859858,45.7051551
466,126.6849866,45.7021192
467,126.6858922,45.7048833
