node_id,longitude,latitude
403237761,126.6350852,45.7849641
403237764,126.6374748,45.7856432
403237766,126.6392885,45.786149
403237773,126.6430612,45.7879653
403241527,126.6014952,45.7700788
403241530,126.5995379,45.7708568
403245438,126.6177209,45.7737149
403245444,126.6222853,45.774657
403247399,126.6040456,45.7691753
403247403,126.6052924,45.7687392
403247407,126.6065779,45.7682896
403247411,126.6078817,45.7678335
403247415,126.6091842,45.7673779
403247425,126.6107101,45.7668481
403247433,126.6123195,45.7662892
403251665,126.6148452,45.7645525
403251671,126.6163444,45.7649336
403251675,126.6137943,45.7627995
403251678,126.6125066,45.7609979
403251682,126.6101438,45.7577888
403255680,126.6223955,45.7464149
403258233,126.6124694,45.7522817
403276223,126.6373199,45.7378878
403276724,126.6415328,45.7371887
403278101,126.6392769,45.7341629
403279006,126.6425455,45.737803
403282173,126.6395931,45.73532
403282179,126.641157,45.7367863
403300835,126.6452466,45.7367389
403300959,126.6529199,45.734204
403302313,126.6487074,45.7417472
403302708,126.6494068,45.7414186
403302711,126.6498111,45.7415069
403302714,126.6499818,45.7416211
403304199,126.6326401,45.7253736
403304724,126.6370722,45.7318343
403306019,126.6349173,45.7292459
403306020,126.6345643,45.7290157
403306021,126.6321123,45.7255772
403306022,126.6311492,45.7242392
403306332,126.6368792,45.731903
403308900,126.6372505,45.7378199
403310827,126.6358853,45.7309256
403313330,126.6351701,45.7291437
403313444,126.6353756,45.7290637
403313612,126.6365521,45.7306883
403314521,126.6316863,45.7240659
403316635,126.6304841,45.7239486
403316636,126.6287919,45.7245414
403328069,126.6119536,45.7342384
403329681,126.612335,45.7343612
403330174,126.6072382,45.7274243
403330684,126.6074486,45.7273518
403345544,126.60638,45.7261706
403345546,126.6049723,45.7241749
403345548,126.6034838,45.7220938
403349464,126.6050786,45.7161291
403349466,126.6058104,45.7129404
403349469,126.6064932,45.7098886
403349477,126.6096123,45.695438
403349484,126.611874,45.6850128
403351241,126.6067642,45.7099139
403351255,126.6037692,45.722009
403354002,126.6057631,45.7213324
403357856,126.6013829,45.7228019
403357859,126.5988404,45.7236589
403357864,126.5973099,45.7244621
403357877,126.5903091,45.7284007
403357880,126.5895338,45.7289896
403357889,126.581481,45.7351327
403359260,126.5832517,45.7408884
403359263,126.5834612,45.7410755
403361489,126.594794,45.7465531
403361492,126.5923716,45.7439794
403361495,126.5909835,45.7425039
403361498,126.5908276,45.7423265
403361521,126.5881234,45.7394631
403361529,126.5876935,45.739104
403364660,126.591527,45.7376445
403365627,126.5913967,45.7381152
403367327,126.6045237,45.7331423
403367329,126.5979095,45.7356981
404578760,126.5302498,45.7000831
404585578,126.6563757,45.7462751
404596712,126.5949172,45.7464976
404596727,126.5945681,45.7406191
404596768,126.5863759,45.7330187
404596794,126.5839347,45.7313092
404596808,126.5791313,45.7281071
404596813,126.5778548,45.7266313
404596827,126.5745228,45.7240347
404596834,126.569564,45.7208529
404596844,126.5575474,45.7129358
404597536,126.6612135,45.7489544
404613154,126.6525026,45.7441301
404621875,126.6606612,45.7426005
404622809,126.6609325,45.7427082
404625285,126.6678972,45.7468425
404628409,126.6582718,45.7411457
404628417,126.6574472,45.7405704
404628426,126.6572895,45.7404318
404628439,126.6551372,45.737447
404628444,126.6535567,45.7351379
404632205,126.6501292,45.7299368
404632214,126.6530385,45.7341624
404632227,126.6552782,45.7373261
404633305,126.6574594,45.740296
404633309,126.6576162,45.7404285
404633313,126.6609147,45.7425341
404633326,126.6678844,45.7467105
404640342,126.6406526,45.7164738
404641802,126.6410518,45.7196644
404642363,126.6405194,45.7188999
404642371,126.6420953,45.7183677
404642377,126.6450492,45.717305
404656641,126.6617512,45.7693238
406091148,126.625719,45.7513537
406091154,126.6249057,45.7518119
406091158,126.622057,45.7534264
406094257,126.6246445,45.7449425
406094302,126.6308397,45.7536615
406094306,126.6288891,45.7530457
406094311,126.6269443,45.7523895
406095950,126.6260363,45.7528991
406109735,126.6315115,45.757698
406109739,126.6338428,45.7567284
406114042,126.6291441,45.7627272
406117812,126.6392937,45.7540274
406120051,126.6443031,45.7508454
406122629,126.6564439,45.7413882
406122637,126.6490461,45.7472369
406122643,126.6434415,45.7516805
406122658,126.6394865,45.7541963
406130907,126.646259,45.7470342
406130931,126.6538828,45.7517101
406130934,126.6549541,45.752698
406130944,126.6591658,45.7563887
406135442,126.6643966,45.7627493
406135445,126.6614615,45.7624982
406135449,126.6624523,45.7638137
406140309,126.7012851,45.7680769
406143584,126.6989465,45.7668926
406149779,126.6937265,45.7661641
406149782,126.6957803,45.7664428
406149790,126.7037791,45.7674182
406149794,126.706221,45.7677115
406151029,126.686556,45.7652575
406151033,126.6866942,45.7652745
406441967,126.6672447,45.7403223
406441990,126.6676078,45.7437979
406444286,126.6611342,45.7372641
406444289,126.6613305,45.7373769
406444292,126.6639575,45.7387934
406444297,126.666292,45.7402865
